x              y
0              0
0.1              0
0.2              0
0.3              0
0.4              0
0.5              0
0.6              0
0.7              0
0.8              0
0.9              0
1              0
1.07071     -0.0642571
1.14142      -0.117516
1.21213      -0.161802
1.28284      -0.198433
1.35355      -0.228309
1.42426      -0.252061
1.49497      -0.270135
1.56569      -0.282844
1.6364      -0.290391
1.70711      -0.292894
1.77782      -0.290391
1.84853      -0.282843
1.91924      -0.270135
1.98995       -0.25206
2.06066      -0.228308
2.13137      -0.198432
2.20208      -0.161801
2.27279      -0.117515
2.3435     -0.0642558
2.41421              0
2.51421              0
2.61421              0
2.71421              0
2.81421              0
2.91421              0
3.01421              0
3.11421              0
3.21421              0
3.31421              0
3.41421              0
0        1.41421
0.1        1.41421
0.2        1.41421
0.3        1.41421
0.4        1.41421
0.5        1.41421
0.6        1.41421
0.7        1.41421
0.8        1.41421
0.9        1.41421
1        1.41421
1.07071        1.47847
1.14142        1.53173
1.21213        1.57601
1.28284        1.61264
1.35355        1.64252
1.42426        1.66627
1.49497        1.68435
1.56569        1.69706
1.6364         1.7046
1.70711        1.70711
1.77782         1.7046
1.84853        1.69706
1.91924        1.68435
1.98995        1.66627
2.06066        1.64252
2.13137        1.61264
2.20208        1.57601
2.27279        1.53173
2.3435        1.47847
2.41421        1.41421
2.51421        1.41421
2.61421        1.41421
2.71421        1.41421
2.81421        1.41421
2.91421        1.41421
3.01421        1.41421
3.11421        1.41421
3.21421        1.41421
3.31421        1.41421
3.41421        1.41421
0      0.0461156
0      0.0968428
0       0.152643
0       0.214022
0        0.28154
0        0.35581
0       0.437507
0       0.527373
0       0.626226
0       0.725079
0       0.823931
0       0.922784
0        1.02164
0         1.1115
0         1.1932
0        1.26747
0        1.33499
0        1.39637
0        1.45217
0        1.50289
0        1.54901
3.41421      0.0461156
3.41421      0.0968428
3.41421       0.152643
3.41421       0.214022
3.41421        0.28154
3.41421        0.35581
3.41421       0.437507
3.41421       0.527373
3.41421       0.626226
3.41421       0.725079
3.41421       0.823931
3.41421       0.922784
3.41421        1.02164
3.41421         1.1115
3.41421         1.1932
3.41421        1.26747
3.41421        1.33499
3.41421        1.39637
3.41421        1.45217
3.41421        1.50289
3.41421        1.54901
